cliente;nif;tarifa;forma_pago;localidad;contacto;direccion_entrega
Supermercados Serrano S.L.;B34029173;serrano;60 días f.f.;Elche;Amparo Sellés;Plataforma logística Serrano, Pol. Ind. Carrús, c/ Alfarería 3, 03206 Elche
Distribuciones Hermanos Cascales S.L.;B33911082;cascales;60 días f.f.;Orihuela;Paco Cascales;Nave 7, Pol. Ind. Puente Alto, 03300 Orihuela
Grupo Hostelero Mediterráneo S.L.;B37205416;mediterraneo;30 días f.f.;Benidorm;Rubén Ortolá;Economato central, av. de l'Aigüera 112, 03503 Benidorm
Ultramarinos La Font S.L.U.;B35647304;general;contado;Alcoy;Vicent Ferrándiz;c/ Sant Nicolau 22, 03801 Alcoy
Cash Vega Baja S.A.;A32884553;cash;45 días f.f.;Almoradí;Loli Marco;Ctra. de Dolores km 1,2, 03160 Almoradí
Restaurante Casa Pepa (Josefa Belmonte Cano);21489302B;general;contado;Torrevieja;Pepa Belmonte;Paseo Vista Alegre 8, 03181 Torrevieja
Cooperativa Agrícola San Isidro de Callosa S. Coop. V.;F30117295;general;30 días f.f.;Callosa de Segura;Mari Carmen Gil;Economato de la cooperativa, c/ de la Estación 45, 03360 Callosa de Segura
Supermercados Alifresc S.L.;B36700235;general;60 días f.f.;Alicante;Sergio Baeza;Almacén central, c/ Fragata 19, Pol. Ind. Pla de la Vallonga, 03006 Alicante
Catering Lucentum Eventos S.L.;B35541986;general;30 días f.f.;San Vicente del Raspeig;Nuria Pastor;c/ Pintor Sorolla 6, 03690 San Vicente del Raspeig
Bar-Cafetería El Racó de Toni (Antoni Buigues Soler);53210077Z;general;contado;Xàbia;Toni Buigues;Plaça de la Constitució 4, 03730 Xàbia
Sabores de Levante Online S.L.;B36988020;general;30 días f.f.;Elche;Irene Mora;Nave 3B, Pol. Ind. Torrellano, c/ Lisboa 8, 03320 Elche
Distribuciones Bernabéu e Hijos S.L.;B31304660;general;60 días f.f.;Villena;Juanjo Bernabéu;Pol. Ind. El Rubial, c/ 6, parcela 12, 03400 Villena
Mediterranean Pantry Ltd;GB 447 2201 93;general;prepago;Londres;Helen Whitcombe;EXW Almoradí (recoge transitario)
